报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,1828063290.62,1828063290.62,1617426908.68,1246013467.72,21508570.73,124170769.41,75783515.47,165129993.74,-15179408.39,,16102179.65,11788951.71,-1590988.22,574310.33,3321797.58,-182352.56,49696.08,71013071.17,275397293.61,4149972.17,,225784.1,,279321481.68,37925428.05,,241396053.63,241396053.63,241495156.15,-99102.52,233553303.79,0.29,0.29,-230670.31,-230670.31,241165383.32,241264485.84,-99102.52
2024-12-31,6950934596.87,6950934596.87,6181682939.72,4703368425.19,52813957.75,515128270.71,318552352.72,656085769.27,-64265835.92,283489.73,66361579.14,48873547.49,36853164.6,-425824.7,5781709.69,4527541.95,54200.85,114473237.89,803408268.79,25028312.29,,4658517.17,,823778063.91,107943308.9,,715834755.01,715834755.01,715587644.14,247110.87,697986211.23,0.87,0.87,381775.27,381775.27,716216530.28,715969419.41,247110.87
2024-09-30,5093273140.61,5093273140.61,4447405653.610001,3376867795.84,42988770.05,354929967.37,227246322.86,493601997.57,-48229200.08,235778.28,51875701.74,34261902.24,28679051.49,,2086798.25,855017.92,51102.62,104409029.28,689473463.42,19202795.8,,2355681.89,,706320577.33,96194816.42,,610125760.91,610125760.91,609140148.54,985612.37,593763207.31,0.75,0.74,321506.33,321506.33,610447267.24,609461654.87,985612.37
2024-06-30,3477205242.58,3477205242.58,3010110301.6399994,2313597609.87,32159582.4,232592402.98,146116823.05,320490135.96,-34846252.62,188066.76,35660031.37,46614040.28,22122856.55,,999739.78,-191018.62,38045.74,78160904.25,477556733.88,18453756.4,,2000999.39,,494009490.89,69257072.51,,424752418.38,424752418.38,423591108.29,1161310.09,408565681.81,0.52,0.52,9266.43,9266.43,424761684.81,423600374.72,1161310.09
2024-03-31,1544819376.34,1544819376.34,1353803894.47,1020213238.57,15524002.01,118857140.36,67810220.95,150823395.12,-19424102.54,94033.38,19982447.86,16980954.0,10930803.94,,-145819.89,-296853.75,8009.65,48824710.97,211790624.66,2413624.89,,301426.65,,213902822.9,31933890.47,,181968932.43,181968932.43,181055147.35,913785.08,179144788.39,0.22,0.22,277809.72,277809.72,182246742.15,181332957.07,913785.08
2023-12-31,5751051476.34,5751051476.34,5058198898.22,3770327877.09,47583685.82,478917751.52,277715310.21,541018788.66,-57364515.08,643349.76,59536417.86,65475469.69,13853373.55,,6964428.08,4097519.59,145793.74,112958043.41,733592000.11,10011164.48,,8400906.84,,735202257.75,107302200.32,,627900057.43,627900057.43,627206305.37,693752.06,623338703.69,0.75,0.75,-318837.71,-318837.71,627581219.72,626887467.66,693752.06
2023-09-30,4236584962.42,4236584962.42,3608623588.8,2698931002.07,41208992.9,339481835.3,191333705.49,378457361.22,-40789308.18,504343.71,42406259.23,80148138.93,9140296.57,,2122086.24,-376827.48,114747.37,72339047.35,613248819.08,7607244.91,,6532443.55,,614323620.44,91976634.78,,522346985.66,522346985.66,521425392.32,921593.34,518301748.96,0.64,0.64,-298866.46,-298866.46,522048119.2,521126525.86,921593.34
2023-06-30,2869472649.69,2869472649.69,2427061723.33,1833478789.79,32031251.11,219239260.22,122221893.72,247349091.81,-27258563.32,365337.66,27775307.98,61892961.66,13375042.4,,1833505.04,88081.47,90172.1,50860708.78,419927308.22,4846237.31,,6375811.95,,418397733.58,62511394.05,,355886339.53,355886339.53,355245791.82,640547.71,354844285.23,0.44,0.44,-103613.44,-103613.44,355782726.09,355142178.38,640547.71
2023-03-31,1177398697.64,1177398697.64,1015833011.88,739904678.84,15109807.05,105316404.72,57088802.45,110628929.53,-12215610.71,202359.57,14138010.94,8886237.61,3690747.15,,-102087.59,-102087.59,505.31,25690350.71,174577469.43,2429394.32,,6262933.8,,170743929.95,28317518.67,,142426411.28,142426411.28,141950837.96,475573.32,145093223.7,0.17,0.17,-101467.28,-101467.28,142324944.0,141849370.68,475573.32
2022-12-31,5078494632.06,5078494632.06,4512757888.650001,3445564362.63,48553767.37,424663809.09,222359756.74,425254764.06,-53638571.24,982552.38,54660540.86,25599472.19,-2166388.64,,-946761.76,-1112855.69,138463.73,95235591.84,636730953.67,20223693.27,,2889509.91,,654065137.03,110367991.47,,543697145.56,543697145.56,543214264.81,482880.75,529303725.97,0.67,0.67,460359.9,460359.9,544157505.46,543674624.71,482880.75
