报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,3051395747.87,870574310.33,1313036852.54,96278747.33,1216758105.21,161966955.36,,,,2036603270.73,1940754729.79,,,484573245.14,10282861944.62,,,,58496855.89,,23910287.7,27280606.82,481327785.87,,,43614360.04,,,,,205791028.8,22021982.19,,22327247.74,210292386.46,27207939.29,1123967175.56,11406829120.18,,,,3861469246.96,1180777964.78,2680691282.18,,1524208685.03,353494023.89,105848865.15,,,,,3688247.79,539581297.89,6553527116.74,,,0.0,,,,3120509.65,15549936.34,,18670445.99,6572197562.73,833436000.0,,,,1679144962.07,101930277.0,-269933.72,,415829968.77,2003473549.3,,,4829684269.42,4947288.03,4834631557.45,11406829120.18
2024-12-31,3532161472.9,240000000.0,1287961008.16,98396023.26,1189564984.9,247401302.05,,,,1966627586.76,1759939311.53,,,498684265.93,9922690413.65,,,,58679208.45,,23910287.7,28131966.82,392497316.42,,,138813362.2,,,,,207300970.95,23666301.6,,23667427.6,201733470.86,21980380.32,1123046927.4,11045737341.05,,,,3631581052.61,1063907542.24,2567673510.37,,1682568250.5,325826710.06,85225696.04,,,,,3688247.79,518120894.63,6447873870.64,,,0.0,,,,3482959.59,15195336.69,,18678296.28,6466552166.92,833436000.0,,,,1665980285.34,101930277.0,-39263.41,,415829968.77,1761978393.15,,,4575255106.85,3930067.28,4579185174.13,11045737341.05
2024-09-30,3138549495.42,,1518122361.65,61797073.01,1456325288.64,235929147.39,,,,1831637042.64,1797293943.68,,,382438069.9,9190994179.68,,,,55730473.83,,24336112.4,28983326.78,365484125.59,,,124124617.65,,,,,202761499.93,21130909.72,,21028271.67,202363660.3,30406696.94,1080470238.87,10271464418.55,,,,3393990414.92,1022963089.87,2371027325.05,,1392366353.45,256476928.23,87826059.47,,,,,5457050.1,477414104.62,5833779279.74,,,0.0,,,,3945578.03,14069446.7,,18015024.73,5851794304.47,833461000.0,,,,1652132321.33,141820110.0,-99532.35,,415829968.77,1655497897.55,,,4415001545.3,4668568.78,4419670114.08,10271464418.55
2024-06-30,2653736748.2,3000000.0,1339593654.54,70637041.71,1268956612.83,173244746.06,,,48236756.85,1729992924.83,1697391824.97,,,392650642.77,8253219378.58,,,,54684437.29,,24336112.4,29834686.73,367887006.77,367887006.77,,82338433.25,82338433.25,,,,204979406.76,18983990.69,,20804051.33,198549777.0,18710724.15,1026683480.01,9279902858.59,,,,3118215675.47,900192544.41,2218023131.06,,1023499392.73,209030763.31,67163454.3,,,206608580.5,,5409338.58,418449840.78,5048377045.67,,,0.0,,,,4382022.08,14364446.71,,18746468.79,5067123514.46,832226000.0,,,,1623565483.81,133223460.0,-411772.25,,415829968.77,1469948857.3,,,4207935077.63,4844266.5,4212779344.13,9279902858.59
2024-03-31,3055540094.49,153000000.0,1203604810.9,84772828.71,1118831982.19,169565545.67,,,,1890587306.2,1521552261.15,,,460626392.88,8744175727.03,,,,54571393.06,,24336112.4,33182567.18,371725385.25,,,28692424.29,,,,,210821529.31,16004217.15,,16886627.23,186795212.16,33226826.84,983271458.09,9727447185.12,,,,2997759738.38,780015854.05,2217743884.33,,1270793413.5,295498908.29,73065787.97,,,,,8172448.06,421071031.17,5268131873.62,,,0.0,,,,5036612.64,16901279.72,,21937892.36,5290069765.98,832251000.0,,,,1602940051.48,144809610.0,-143228.96,,415829968.77,1726712496.36,,,4432780677.65,4596741.49,4437377419.14,9727447185.12
2023-12-31,3120392626.01,,1137410382.19,58700646.28,1078709735.91,159566241.43,,,43240142.81,2031194760.85,1351767988.97,,,447968325.4,8524980671.77,,,,54868246.81,,24336112.4,29778710.79,380504424.98,380504424.98,,24103379.79,24103379.79,,,,209509483.23,24370767.62,,14447737.99,177560343.14,31833214.06,979795893.61,9504776565.38,,,,2911321963.3,716098568.75,2195223394.55,,1388808323.86,259919716.96,59582486.74,,,193697544.94,,8078414.68,428068595.94,5249477046.42,,,0.0,,,,5289418.5,15747079.73,,21036498.23,5270513544.65,832251000.0,,,,1582072395.22,144809610.0,-421038.68,,415829968.77,1545657349.01,,,4230580064.32,3682956.41,4234263020.73,9504776565.38
2023-09-30,2067373707.72,63000000.0,1188597637.13,42750576.77,1145847060.36,143558441.35,,,,1848580583.58,1560765982.67,,,386476929.87,7470513219.86,,,,51037737.08,,24336112.4,30576776.87,374606146.84,,,15117940.8,,,,,195867837.2,33713378.81,,14283030.86,173470449.36,29841657.99,952788850.59,8423302070.45,,,,2674553968.02,700085184.94,1974468783.08,,930459312.9,238711862.65,56072512.5,,,,,7735334.72,354848312.18,4319566438.06,,,0.0,,,,4238037.8,15136579.78,,22603096.31,4342169534.37,813172000.0,,,,1408744401.09,,-401067.43,,360566589.81,1495139814.92,,,4077221738.39,3910797.69,4081132536.08,8423302070.45
2023-06-30,1766404531.0,53000000.0,1382467238.18,53974975.57,1328492262.61,115723675.07,,,54953137.97,1725491137.53,1392937871.7,,,373550581.0,7039279547.93,,,,51502646.03,,24336112.4,31374843.03,378673928.08,378673928.08,,8994881.87,8994881.87,,,,177652545.76,28600045.34,,15017822.47,178086369.48,29505541.21,935136827.63,7974416375.56,,,,2556723724.44,683378001.56,1873345722.88,,838823527.23,199784687.31,44766006.62,,,59800168.4,,7644040.2,333448818.92,4040990973.12,,,0.0,,,,4421526.05,14540413.12,,22142706.37,4063133679.49,813172000.0,,,,1405159954.19,,-205814.41,,360566589.81,1328960214.42,,,3907652944.01,3629752.06,3911282696.07,7974416375.56
2023-03-31,2024643566.7,203000000.0,1175270008.73,64956281.35,1110313727.38,126276248.63,,,,1938490745.79,1252794367.61,,,429992092.17,7551274076.78,,,,51293693.25,,24336112.4,32172909.19,388724965.6,,,27425994.39,,,,,152479107.98,32149470.89,,13435128.25,162353562.79,23704739.23,920922085.51,8472196162.29,,,,2521741261.12,681649638.88,1840091622.24,,1070760759.46,274615310.11,19176054.23,,,,,5997666.67,305650138.35,4251884086.47,,,0.0,,,,4666990.51,15196946.46,,26226861.33,4278110947.8,813172000.0,,,,1401319474.7,,-203668.25,,360566589.81,1615766040.56,,,4190620436.82,3464777.67,4194085214.49,8472196162.29
2022-12-31,2322630090.24,,1133661383.49,65315694.63,1068345688.86,120738465.53,,,45846395.31,1920515613.61,1159513002.21,,,425988990.28,7537212441.46,,,,51395780.84,,24336112.4,32970975.36,380310207.38,380310207.38,,28053966.02,28053966.02,,,,149250192.33,38109701.72,,14288026.56,159251025.92,22172066.97,914438766.62,8451651208.08,,,,2650749715.55,750726063.24,1900023652.31,,1092647827.0,239766896.48,27229927.79,,,51534702.12,,5909031.2,310576383.55,4378414483.69,,,0.0,,,,4874895.93,14173146.46,,25316933.39,4403731417.08,813172000.0,,,,1397478995.21,,-102200.97,,360566589.81,1473815202.6,,,4044930586.65,2989204.35,4047919791.0,8451651208.08
2022-09-30,1770260942.27,1300000.0,1185475726.5,43648504.08,1141827222.42,193507264.58,,,,1680591421.11,1137383199.63,,,343699867.02,6631416463.04,,,,47918467.52,,24336112.4,33769041.51,361663755.76,,,11255507.48,,,,,151920364.43,32606152.08,,13330563.13,181463682.48,24844167.0,898862834.49,7530279297.53,,,,2185284357.06,594936386.73,1590347970.33,,813104454.83,251633038.46,50977241.72,,,,,5822977.35,229757507.86,3575368762.29,,,0.0,,,,1118866.84,13453313.52,,23978255.83,3599347018.12,813172000.0,,,,1385260041.37,,-432598.57,,321271673.67,1408431961.07,,,3927703077.54,3229201.87,3930932279.41,7530279297.53
