报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,4668135364.9,4668135364.9,4109569166.61,3820049828.79,17082632.13,140926289.16,52006761.49,67380159.72,12123495.32,12475069.5,2163425.89,,751584.39,,4326799.66,,800.3,75793005.5,637935219.36,2765947.14,,1977493.19,,638723673.31,117158401.35,,521565271.96,521565271.96,514543924.22,7021347.74,499409506.62,0.41,0.395,-73238.5,-73238.5,521492033.46,514470685.72,7021347.74
2024-12-31,15563414716.65,15563414716.65,14104898302.97,13128722948.32,72565306.41,367586524.44,252753260.9,244358346.54,38911916.36,53418221.57,14715833.22,7494081.1,12918254.58,277028.52,19102883.9,2291078.02,-199861.22,132300357.04,1589584486.24,12752356.92,,9625305.66,,1592711537.5,272204496.6,,1320507040.9,1320507040.9,1314985692.16,5521348.74,1240536558.42,1.05,1.03,578915.64,578915.64,1321085956.54,1315564607.8,5521348.74
2024-09-30,12366966289.94,12366966289.94,11057729185.300001,10375881424.7,53619743.52,356519970.07,148833096.28,96429530.89,26445419.84,39555930.51,9499741.79,,12594325.05,,12233794.2,1172407.14,-203116.59,52287859.4,1360961316.6,3965561.89,,4853205.09,,1360073673.4,241690640.65,,1118383032.75,1118383032.75,1112777338.47,5605694.28,1070802540.75,0.8869,0.8696,-91634.43,-91634.43,1118291398.32,1112685704.04,5605694.28
2024-06-30,8418765451.87,8418765451.87,7525164909.38,7066860334.48,36618270.3,247191216.21,106253198.09,48220025.63,20021864.68,26602159.53,5885581.53,0.0,18065217.54,,6442809.88,1172407.14,-254759.66,34025201.6,915748576.77,754222.5,,2354524.0,,914148275.27,173989944.62,,740158330.65,740158330.65,737585034.0,2573296.65,711287157.07,0.5878,0.5765,-64679.94,-64679.94,740093650.71,737520354.06,2573296.65
2024-03-31,3334772187.16,3334772187.16,2911553084.2000003,2735347178.68,13010544.15,91767491.97,40649103.65,17802047.48,12976718.27,15579434.06,2126273.83,,25741771.47,,4736946.83,,-288516.22,15311760.98,417237523.08,423564.64,,477437.2,,417183650.52,74558015.86,,342625634.66,342625634.66,343921552.52,-1295917.86,328243062.84,0.274,0.269,-22804.1,-22804.1,342602830.56,343898748.42,-1295917.86
2023-12-31,15099868971.01,15099868971.01,13677078105.56,12851494535.62,63502137.32,328013982.05,247507004.92,164234111.75,22326333.9,48792086.27,26127198.43,51152262.94,12897272.38,,12778966.73,1643405.26,-1154083.99,52002704.82,1422368917.69,7686272.71,,8269609.92,,1421785580.48,219603218.26,,1202182362.22,1202182362.22,1206563575.61,-4381213.39,1162083720.62,1.0,0.99,-8997292.72,-8997292.72,1193185069.5,1197566282.89,-4381213.39
2023-09-30,11885355145.37,11885355145.37,10739060571.47,10139768443.66,45573875.76,346212429.79,124729517.33,63010680.2,19765624.73,37883716.3,18510608.96,,18362802.58,,5671140.62,1076860.34,1039348.91,31793972.64,1166436233.49,4085862.36,,6609125.89,,1163912969.96,163545946.56,,1000367023.4,1000367023.4,990250632.2,10116391.2,968439501.03,0.7892,0.7758,220869.2,220869.2,1000587892.6,990471501.4,10116391.2
2023-06-30,8049243244.98,8049243244.98,7265798291.62,6850976600.96,29751100.08,219988332.58,111301328.62,38737576.67,15043352.71,28405329.55,10316483.96,0.0,16536205.64,,5228983.59,1076860.34,1076304.14,21690589.9,794904625.35,1929485.41,,4071812.72,,792762298.04,96230544.63,,696531753.41,696531753.41,689802098.4,6729655.01,674068445.21,0.5498,0.5395,235801.53,235801.53,696767554.94,690037899.93,6729655.01
2023-03-31,4418261498.82,4418261498.82,3902005806.17,3723294155.17,13399855.59,81476239.64,62240398.77,13928756.71,7666400.29,14776046.51,6091409.52,0.0,27203988.49,0.0,3053559.93,0.0,668838.19,2480813.5,495254915.78,817079.34,,1879163.76,,494192831.36,81550100.27,,412642731.09,412642731.09,408606670.23,4036060.86,407353189.93,0.326,0.318,-6136.64,-6136.64,412636594.45,408600533.59,4036060.86
2022-12-31,15957732912.29,15957732912.29,14339194911.88,13637829623.44,61423898.26,278320374.16,258937602.01,82210758.29,20472655.72,45149215.98,22617018.59,1910481.44,21540353.75,,22097297.41,2498515.6,6502810.19,42419071.32,1666106344.14,4147979.12,,21811547.57,,1648442775.69,295941791.85,,1352500983.84,1352500983.84,1309353270.48,43147713.36,1272359139.3,1.04,1.03,1340131.18,1340131.18,1353841115.02,1310693401.66,43147713.36
2022-09-30,12280896844.17,12280896844.17,10803427615.039999,10249850133.85,45955637.34,298446139.96,139751235.92,51110646.12,18313821.85,30954982.46,15692237.39,-235579.57,24944548.41,,16792050.16,1666876.65,-521501.91,22585376.55,1491616185.09,3793026.0,,2795956.08,,1492613255.01,262539820.34,,1230073434.67,1230073434.67,1200999558.08,29073876.59,1182876632.87,0.9572,0.9357,1838259.91,1838259.91,1231911694.58,1202837817.99,29073876.59
