报告期,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,应收利息,应收股利,其他应收款,存货,合同资产,划分为持有待售的资产,一年内到期的非流动资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期应收款,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,生产性生物资产,油气资产,无形资产,开发支出,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,短期借款,交易性金融负债,衍生金融负债,应付票据及应付账款,应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,划分为持有待售的负债,一年内到期的非流动负债,其他流动负债,流动负债合计,长期借款,应付债券,长期应付款合计,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,实收资本(或股本),其他权益工具,其中：优先股,永续债,资本公积,减：库存股,其他综合收益,专项储备,盈余公积,未分配利润,一般风险准备,外币报表折算差额,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益总计
2025-03-31,2145831089.4,750206000.0,323368111.7,,323368111.7,628304733.47,,,,2776562646.98,,54000000.0,,660374704.58,8109024796.25,,,,10837002.8,140000000.0,,,7574671774.33,,,1499583910.46,,,142625.99,,1533170359.5,,,14987350.05,104710424.65,42887283.05,10972279561.56,19081304357.81,42500000.0,,,1872861231.78,189103549.5,1683757682.28,,2573436177.47,161181473.73,175462066.78,,,,,60000000.0,231021001.29,5268244010.12,660000000.0,1037354476.33,0.0,,,7317490.05,172345512.2,372967872.9,,2253041082.85,7521285092.97,1283100888.0,77627328.18,,,132511472.87,,1741536.7,255158336.24,496643704.02,8852992150.33,,,11099775416.34,460243848.5,11560019264.84,19081304357.81
2024-12-31,1060913179.63,1162452028.52,299514499.38,,299514499.38,344985819.89,,,,3590513869.95,,54000000.0,,737498279.43,7353894223.34,,,,10837002.8,140000000.0,,,7720354444.66,,,1427344676.58,,,142625.99,,1357314823.04,,,13417026.02,105774046.24,49308205.17,10877105006.7,18230999230.04,50045138.88,,,2222332694.62,286800000.0,1935532694.62,,1986741900.47,229184759.23,107156337.2,,,,,50000000.0,189347493.72,5019669293.9,630000000.0,1029751215.6,0.0,,,7388861.41,171581579.36,371252948.77,,2213030336.51,7232699630.41,1283100888.0,77627328.18,,,132511472.87,,1814775.2,245465985.42,496643704.02,8338448226.11,,,10575612379.8,422687219.83,10998299599.63,18230999230.04
2024-09-30,1296853385.96,1050353000.0,399215737.01,,399215737.01,181233100.14,,,,3145252589.56,,54023192.93,,586657459.24,6866481798.01,,,,9718331.92,140000000.0,,,7714879773.59,,,1288454428.99,,,153562.65,,1353112672.76,,,17534637.74,101201401.28,85726752.04,10762557846.53,17629039644.54,50000000.0,,,1890089705.11,179026509.62,1711063195.49,,1920625534.5,301840035.04,150066904.49,514583.3,,,,,172856298.1,4633326621.24,688000000.0,1022232662.66,0.0,,,,139451011.5,372537767.5,,2227011703.06,6860338324.3,1283100774.0,77627512.43,,,132509586.87,,1144225.13,207238698.64,426376663.04,8206506913.4,,,10334504373.51,434196946.73,10768701320.24,17629039644.54
2024-06-30,2455372213.95,750000000.0,379865103.0,,379865103.0,253951017.54,,,64572636.18,2176134083.54,0.0,54023192.93,,505621942.5,6802699981.83,,,,11218331.92,140000000.0,0.0,,6889691126.24,6889672403.67,18722.57,1986897901.1,1985703780.19,1194120.91,153562.65,,1363369913.74,,,23714448.25,101469786.3,84359932.24,10654052707.89,17456752689.72,150000000.0,,,2050239953.92,311436509.62,1738803444.3,,1938647105.85,236836524.87,157442456.19,,,140632669.86,0.0,,178228555.53,4852027266.22,688000000.0,1010489779.28,0.0,,,,137970012.0,377146744.54,,2218396797.22,7070424063.44,1283100774.0,77627512.43,,,132509586.87,,1171179.62,202319525.61,426376663.04,7831314608.93,,,9954419850.5,431908775.78,10386328626.28,17456752689.72
2024-03-31,1466413858.37,50000000.0,349019705.44,,349019705.44,301619499.19,,,,3191023225.02,,54000000.0,,604562566.1,6226341956.64,,,,10045924.78,140000000.0,,,6768113735.83,,,2016382278.14,,,158650.49,,1334835461.08,,,31126878.83,102668885.08,163629473.71,10622316609.54,16848658566.18,130000000.0,,,2109412113.86,380262592.94,1729149520.92,,1497055630.86,131528300.65,138270724.79,469444.44,,,,,134735006.78,4341542383.16,628000000.0,1007161598.14,0.0,,,,142942915.88,359276135.08,,2142085389.56,6483627772.72,1283100774.0,77627512.43,,,132509586.87,,1213055.46,196714922.22,426376663.04,7814071043.65,,,9931613557.67,433417235.79,10365030793.46,16848658566.18
2023-12-31,1178194708.78,1222076693.09,206087811.7,,206087811.7,333922524.51,,,92236186.98,2700506775.06,,54000000.0,,502540668.89,6334119684.86,,,,10045924.78,140000000.0,,,6875234857.04,6875234857.04,,1893653739.68,1891562672.03,2091067.65,158650.49,,1342198538.2,,,35322829.36,96079036.2,102107122.63,10550573963.4,16884693648.26,,,,2211909307.82,113700374.17,2098208933.65,,2039756828.96,236209590.96,121571058.17,,,201766609.28,,2477104.96,189847194.72,5003537694.87,368000000.0,998925728.96,0.0,,,,141461916.38,355014924.06,,1868272406.74,6871810101.61,1283100662.0,77627696.68,,,132507698.87,,1235859.56,192501365.98,426376663.04,7470149491.13,,,9583499437.26,429384109.39,10012883546.65,16884693648.26
2023-09-30,1979911032.8,550000000.0,290340244.04,,290340244.04,206882438.38,,,,1926380415.14,,76713992.7,,453249973.35,5884893835.98,,,,9479379.86,100000000.0,,,6561811267.2,,,2021414588.78,,,149170.26,,1341416950.27,,,42501240.94,80557049.98,140713819.8,10349266794.02,16234160630.0,2094865.14,,,1910866050.07,112054304.72,1798811745.35,,1729359549.41,222670032.99,126091372.95,,,,,30483.77,155642359.45,4660661442.14,348000000.0,995505083.4,0.0,,,,126127724.33,338744591.42,,1808377399.15,6469038841.29,1332897010.0,77627696.68,,,173339638.73,477695517.97,1531046.48,150708673.98,652264645.0,7416371182.97,,,9327044375.87,438077412.84,9765121788.71,16234160630.0
2023-06-30,1429049772.45,,343247209.87,,343247209.87,274144181.82,,,118555344.27,2470704039.63,,77523821.98,,543833011.91,5513930219.52,,,,25575876.35,148199800.0,,,6615866495.5,6615866495.5,,1761163971.77,1759312730.61,1851241.16,774456.42,,1320605163.99,,,45041803.82,83681127.04,193051855.63,10246577425.34,15760507644.86,4114569.67,,,2056959619.1,176323813.69,1880635805.41,,1272356117.15,161487462.13,101531799.46,,,826071935.13,,,114512050.54,4537033553.18,328000000.0,984676586.26,0.0,,,,126127724.33,337500425.3,,1776304735.89,6313338289.07,1332897010.0,77627696.68,,,160413916.29,477695517.97,10468953.81,150931245.79,652264645.0,7106999674.17,,,9013907623.77,433261732.02,9447169355.79,15760507644.86
2023-03-31,1315558357.82,150000000.0,467456038.08,,467456038.08,440709315.72,,,,2776305656.86,,77523821.98,,400001493.34,5963335868.39,,,,24499016.01,138199800.0,,,6897345901.11,,,1245766192.27,,,149170.26,,1342514673.84,,,40879507.19,87799135.41,233117771.74,10064260902.54,16027596770.93,2094865.14,,,2392549185.09,242831633.8,2149717551.29,,1271447174.07,120779842.4,158665850.68,,,,,30483.77,114430245.67,4892008033.41,300000000.0,973939559.25,0.0,,,,90944213.17,342329545.53,,1707213317.95,6599221351.36,1332897010.0,91327819.92,,,160413453.33,477696055.01,10227015.64,146215406.48,652264645.0,7076750834.4,,,8992400129.76,435975289.81,9428375419.57,16027596770.93
2022-12-31,1679656881.69,880000000.0,306260318.31,,306260318.31,416590351.51,,,114521545.84,3216625088.78,,77523821.98,,437402268.91,7216325904.25,,,,24499016.01,138199800.0,,,6583315131.61,6580161143.3,3153988.31,1063357910.73,1062149279.92,1208630.81,149170.26,,1354785334.5,,,38609641.6,87197308.31,277385534.9,9622872796.52,16839198700.77,2094865.14,,,2446757206.77,566250000.0,1880507206.77,,2372145705.29,188774478.15,132919082.42,,1956600.22,872728421.73,,30483.77,212799501.85,6230206345.34,200000000.0,968305275.71,0.0,,,,90944213.17,335088575.66,,1594338064.54,7824544409.88,1332897010.0,91327819.92,,,160413453.33,477696055.01,10233152.28,145084353.03,652264645.0,6668144164.17,,,8582668542.72,431985748.17,9014654290.89,16839198700.77
