报告期,营业总收入,其中：营业收入,营业总成本,其中：营业成本,营业税金及附加,销售费用,管理费用,研发费用,财务费用,其中：利息费用,利息收入,资产减值损失,信用减值损失,加：公允价值变动收益,投资收益,其中：对联营企业和合营企业的投资收益,资产处置收益,其他收益,营业利润,加：营业外收入,其中：非流动资产处置利得,减：营业外支出,其中：非流动资产处置损失,利润总额,减：所得税费用,净利润差额(合计平衡项目),净利润,（一）持续经营净利润,归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,基本每股收益,稀释每股收益,其他综合收益,归属母公司所有者的其他综合收益,综合收益总额,归属于母公司股东的综合收益总额,归属于少数股东的综合收益总额
2025-03-31,3405434108.47,3405434108.47,3134338797.81,2792362694.15,15711552.26,107507551.81,87251659.11,126825406.06,4679934.42,10760192.56,6109711.66,,3362433.15,,18673277.44,17565369.44,-65046.25,28614926.13,314956034.83,2579378.23,,2427295.96,,315108117.1,43230468.89,,271877648.21,271877648.21,288187819.64,-16310171.43,265213845.57,0.25,0.25,,,271877648.21,288187819.64,-16310171.43
2024-12-31,10262528554.44,10262528554.44,9599783747.14,8396692875.93,55502418.96,385507641.94,389652789.51,394004631.42,-21576610.62,21332665.37,41569404.46,43240856.87,30568384.36,6541473.11,199706155.11,142882265.89,-1993654.84,115961767.08,909151306.53,10277217.18,,4388194.86,,915040328.85,99225444.41,,815814884.44,815814884.44,826079683.77,-10264799.33,714912131.47,0.72,0.72,480032.19,480032.19,816294916.63,826559715.96,-10264799.33
2024-09-30,7878606590.93,7878606590.93,7319443279.08,6444488814.18,41930282.76,300017148.85,277503622.12,281036630.36,-25533219.19,13839856.25,37647744.44,40354699.63,9588210.82,,144424164.44,133041315.17,-1107741.37,95544681.87,748081506.34,7893815.5,,3171463.84,,752803858.0,110666914.99,,642136943.01,642136943.01,664253205.01,-22116262.0,574691382.27,0.5758,0.5758,,,642136943.01,664253205.01,-22116262.0
2024-06-30,5672469084.25,5672469084.25,5223256010.01,4618076162.21,29095149.77,206029348.58,189384765.41,203885171.8,-23214587.76,7818255.1,29074416.44,40354699.63,9098856.49,,94371193.45,87883433.64,-530960.72,78831580.6,572431331.45,5792775.37,,2343457.19,,575880649.63,79070447.82,,496810201.81,496810201.81,510343941.32,-13533739.51,438865087.39,0.44,0.44,,,496810201.81,510343941.32,-13533739.51
2024-03-31,2628527213.63,2628527213.63,2462115911.48,2171200300.01,12923442.52,97159972.29,102971385.57,91298250.55,-13437439.46,1221736.11,14624210.91,,178433.57,,51438605.84,51050660.85,-166843.19,33308672.49,250813303.72,4047889.17,,1267078.96,,253594113.93,31348684.9,,222245429.03,222245429.03,238491511.67,-16246082.64,208168701.76,0.21,0.21,,,222245429.03,238491511.67,-16246082.64
2023-12-31,9991349523.79,9991349523.79,9325426701.42,8245301906.19,58349277.03,405569694.67,364742998.23,349446333.03,-97983507.73,7174047.22,106198140.29,5035339.89,4555112.2,2567785.78,87223487.9,77737365.64,-4453962.33,75553478.04,817223159.67,14741940.86,,8454435.42,,823510665.11,101005858.7,,722504806.41,722504806.41,700741951.93,21762854.48,631786522.06,0.61,0.61,-397382.54,-397382.54,722107423.87,700344569.39,21762854.48
2023-09-30,7601703960.99,7601703960.99,7021537426.940001,6237950292.22,41887256.93,286779616.44,254156955.04,266833124.54,-66069818.23,6052727.78,73202379.32,3120216.41,1648840.71,-108960.0,46198938.39,52465285.31,-3340936.55,37389328.42,655535847.19,11982931.53,,2393669.74,,665125108.98,76429963.69,,588695145.29,588695145.29,579587453.26,9107692.03,550334630.66,0.501,0.501,,,588695145.29,579587453.26,9107692.03
2023-06-30,5202386280.09,5202386280.09,4791031990.59,4307374648.87,28252096.94,186802961.97,161836007.06,165937098.23,-59170822.48,3815200.0,63830629.07,2105271.62,1758609.66,-179160.0,21133990.2,25290272.56,-2176911.56,24836235.18,451104562.04,6151799.09,,1446841.91,,455809519.22,58972577.01,,396836942.21,396836942.21,398777394.19,-1940451.98,380990218.89,0.34,0.34,,,396836942.21,398777394.19,-1940451.98
2023-03-31,3051379055.39,3051379055.39,2840970861.2,2572128242.53,13868043.19,92381698.06,84937696.0,104740801.94,-27085620.52,1328333.33,28976938.77,,509908.55,-130400.0,28446367.41,29271306.69,-883938.01,7780898.5,245111213.54,3499652.63,,448718.34,,248162147.83,29900350.5,,218261797.33,218261797.33,214341836.19,3919961.14,207823380.98,0.19,0.19,,,218261797.33,214341836.19,3919961.14
2022-12-31,9038349310.79,9038349310.79,8681647810.71,7752206897.14,47788603.21,337049197.89,294510205.11,318211226.99,-68118319.63,2151222.21,71911410.1,17968943.29,-4590582.96,-126867.55,127234116.08,92879520.87,-3848210.27,45595304.46,512177482.47,10560156.49,,24169198.98,,498568439.98,44407412.62,,454161027.36,454161027.36,440896114.51,13264912.85,405463847.8,0.38,0.38,-545181.9,-545181.9,453615845.46,440350932.61,13264912.85
